Rank,City,Country,Visitors (millions)
1,Hong Kong,Hong Kong, China,29.26
2,Bangkok,Thailand,24.17
3,London,United Kingdom,19.23
4,Macau,Macau, China,18.93
5,Singapore,Singapore,18.55
6,Paris,France,17.56
7,Dubai,United Arab Emirates,15.92
8,New York,United States,13.60
9,Kuala Lumpur,Malaysia,13.43
10,Istanbul,Turkey,13.43
11,Delhi,India,12.64
12,Antalya,Turkey,12.43
13,Shenzhen,China,12.20
14,Mumbai,India,10.59
15,Phuket,Thailand,10.55
16,Rome,Italy,10.06
17,Tokyo,Japan,9.98
18,Pattaya,Thailand,9.60
19,Taipei,Taiwan, China,9.59
20,Mecca,Saudi Arabia,9.56
21,Guangzhou,China,9.00
22,Prague,Czech Republic,8.94
23,Medina,Saudi Arabia,8.50
24,Seoul,South Korea,8.43
25,Amsterdam,Netherlands,8.35
26,Agra,India,8.13
27,Miami,United States,8.12
28,Osaka,Japan,7.86
29,Los Angeles,United States,7.50
30,Shangai,China,7.48
31,Ho Chi Minh,Vietnam,7.20
32,Denpasar,Indonesia,7.18
33,Barcelona,Spain,6.71
34,Las Vegas,United States,6.59
35,Milan,Italy,6.48
36,Chennai,India,6.42
37,Vienna,Austria,6.41
38,Johor Bahru,Malaysia,6.39
39,Jaipur,India,6.38
40,Cancun,Mexico,6.04
41,Berlin,Germany,5.95
42,Cairo,Egypt,5.75
43,Athens,Greece,5.72
44,Orlando,United States,5.55
45,Moscow,Russia,5.51
46,Venice,Italy,5.50
47,Madrid,Spain,5.44
48,Ha Long,Vietnam,5.29
49,Riyadh,Saudi Arabia,5.26
50,Dublin,Ireland,5.21
